,client_id,workflow_id,job_id,was_completed,drop_task_id,deadline,create_time,response_time
0,068f2ad9-0422-4114-9a88-22853f1ce61a,6,0,True,,179,23,77.18534056536807
1,068f2ad9-0422-4114-9a88-22853f1ce61a,6,1,True,,208,52,67.15567179730905
2,068f2ad9-0422-4114-9a88-22853f1ce61a,6,2,True,,227,71,147.86613231766918
3,068f2ad9-0422-4114-9a88-22853f1ce61a,6,3,True,,253,97,78.325337490853
4,068f2ad9-0422-4114-9a88-22853f1ce61a,6,4,True,,284,128,173.17230672610782
5,068f2ad9-0422-4114-9a88-22853f1ce61a,6,5,True,,304,148,76.96863533875836
6,068f2ad9-0422-4114-9a88-22853f1ce61a,6,6,True,,326,170,187.20664127024503
7,068f2ad9-0422-4114-9a88-22853f1ce61a,6,7,True,,350,194,158.48158048859887
8,068f2ad9-0422-4114-9a88-22853f1ce61a,6,8,True,,377,221,278.6024053842442
9,068f2ad9-0422-4114-9a88-22853f1ce61a,6,9,True,,399,243,256.6024053842442
10,068f2ad9-0422-4114-9a88-22853f1ce61a,6,10,True,,423,267,134.27764305566842
11,068f2ad9-0422-4114-9a88-22853f1ce61a,6,11,True,,443,287,147.26738362634455
12,068f2ad9-0422-4114-9a88-22853f1ce61a,6,12,True,,469,313,254.8290600324856
13,068f2ad9-0422-4114-9a88-22853f1ce61a,6,13,True,,496,340,145.9899580682516
14,068f2ad9-0422-4114-9a88-22853f1ce61a,6,14,True,,518,362,299.1339387134161
15,068f2ad9-0422-4114-9a88-22853f1ce61a,6,15,True,,546,390,271.1339387134161
16,068f2ad9-0422-4114-9a88-22853f1ce61a,6,16,True,,564,408,303.4304297253334
17,068f2ad9-0422-4114-9a88-22853f1ce61a,6,17,True,,585,429,282.4304297253334
18,068f2ad9-0422-4114-9a88-22853f1ce61a,6,18,True,,607,451,319.4628598453139
19,068f2ad9-0422-4114-9a88-22853f1ce61a,6,19,True,,633,477,301.22925588828787
20,068f2ad9-0422-4114-9a88-22853f1ce61a,6,20,True,,659,503,275.22925588828787
21,068f2ad9-0422-4114-9a88-22853f1ce61a,6,21,True,,676,520,284.8466748582715
22,068f2ad9-0422-4114-9a88-22853f1ce61a,6,22,True,,689,533,271.8466748582715
23,068f2ad9-0422-4114-9a88-22853f1ce61a,6,23,True,,712,556,288.99664780691376
24,068f2ad9-0422-4114-9a88-22853f1ce61a,6,24,True,,742,586,315.49244236551215
25,068f2ad9-0422-4114-9a88-22853f1ce61a,6,25,True,,764,608,293.49244236551215
26,068f2ad9-0422-4114-9a88-22853f1ce61a,6,26,True,,783,627,358.45314662422254
27,068f2ad9-0422-4114-9a88-22853f1ce61a,6,27,False,1.0,812,656,160.4487726441115
28,068f2ad9-0422-4114-9a88-22853f1ce61a,6,28,True,,840,684,353.6998550874714
29,068f2ad9-0422-4114-9a88-22853f1ce61a,6,29,False,4.0,869,713,325.8663738996429
30,068f2ad9-0422-4114-9a88-22853f1ce61a,6,30,True,,892,736,292.05944837949914
31,068f2ad9-0422-4114-9a88-22853f1ce61a,6,31,True,,923,767,340.97398179407196
32,068f2ad9-0422-4114-9a88-22853f1ce61a,6,32,False,1.0,945,789,156.88
33,068f2ad9-0422-4114-9a88-22853f1ce61a,6,33,True,,967,811,266.0952365932244
34,068f2ad9-0422-4114-9a88-22853f1ce61a,6,34,False,1.0,996,840,157.60274642160675
35,068f2ad9-0422-4114-9a88-22853f1ce61a,6,35,True,,1028,872,218.61276647184445
36,068f2ad9-0422-4114-9a88-22853f1ce61a,6,36,False,2.0,1046,890,157.8800000000001
37,068f2ad9-0422-4114-9a88-22853f1ce61a,6,37,False,4.0,1075,919,223.98948793876752
38,068f2ad9-0422-4114-9a88-22853f1ce61a,6,38,True,,1104,948,237.9794425897412
39,068f2ad9-0422-4114-9a88-22853f1ce61a,6,39,True,,1129,973,170.06948793876745
40,068f2ad9-0422-4114-9a88-22853f1ce61a,6,40,True,,1151,995,205.05879576756388
41,068f2ad9-0422-4114-9a88-22853f1ce61a,6,41,False,1.0,1184,1028,57.69162434600821
42,068f2ad9-0422-4114-9a88-22853f1ce61a,6,42,False,0.0,1208,1052,16.88000000000011
43,068f2ad9-0422-4114-9a88-22853f1ce61a,6,43,False,1.0,1229,1073,56.88000000000011
44,068f2ad9-0422-4114-9a88-22853f1ce61a,6,44,False,1.0,1251,1095,56.06759218561524
45,068f2ad9-0422-4114-9a88-22853f1ce61a,6,45,True,,1285,1129,126.03972428896463
