,client_id,workflow_id,job_id,was_completed,drop_task_id,deadline,create_time,response_time
0,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,0,False,0.0,179,23,0.879999999999999
1,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,1,False,0.0,208,52,0.8800000000000026
2,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,2,False,0.0,227,71,0.8799999999999955
3,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,3,False,0.0,253,97,0.8799999999999955
4,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,4,False,0.0,284,128,0.8799999999999955
5,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,5,False,0.0,304,148,0.8799999999999955
6,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,6,False,0.0,326,170,0.8799999999999955
7,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,7,False,0.0,350,194,0.8799999999999955
8,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,8,False,0.0,377,221,0.8799999999999955
9,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,9,False,0.0,399,243,0.8799999999999955
10,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,10,False,0.0,423,267,0.8799999999999955
11,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,11,False,0.0,443,287,0.8799999999999955
12,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,12,False,0.0,469,313,0.8799999999999955
13,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,13,False,0.0,496,340,0.8799999999999955
14,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,14,False,0.0,518,362,0.8799999999999955
15,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,15,False,0.0,546,390,0.8799999999999955
16,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,16,False,0.0,564,408,0.8799999999999955
17,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,17,False,0.0,585,429,0.8799999999999955
18,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,18,False,0.0,607,451,0.8799999999999955
19,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,19,False,0.0,633,477,0.8799999999999955
20,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,20,False,0.0,659,503,0.8799999999999955
21,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,21,False,0.0,676,520,0.8799999999999955
22,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,22,False,0.0,689,533,0.8799999999999955
23,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,23,False,0.0,712,556,0.8799999999999955
24,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,24,False,0.0,742,586,0.8799999999999955
25,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,25,False,0.0,764,608,0.8799999999999955
26,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,26,False,0.0,783,627,0.8799999999999955
27,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,27,False,0.0,812,656,0.8799999999999955
28,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,28,False,0.0,840,684,0.8799999999999955
29,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,29,True,,869,713,73.43389997162171
30,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,30,False,0.0,892,736,0.8799999999999955
31,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,31,False,0.0,923,767,0.8799999999999955
32,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,32,False,0.0,945,789,0.8799999999999955
33,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,33,True,,967,811,75.36960255119504
34,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,34,False,0.0,996,840,0.8799999999999955
35,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,35,False,0.0,1028,872,0.8799999999999955
36,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,36,False,0.0,1046,890,0.8799999999999955
37,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,37,False,0.0,1075,919,0.8799999999999955
38,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,38,False,0.0,1104,948,0.8799999999999955
39,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,39,False,0.0,1129,973,0.8799999999999955
40,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,40,False,0.0,1151,995,0.8799999999999955
41,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,41,False,0.0,1184,1028,0.8800000000001091
42,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,42,False,0.0,1208,1052,0.8800000000001091
43,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,43,False,0.0,1229,1073,0.8800000000001091
44,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,44,False,0.0,1251,1095,0.8800000000001091
45,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,45,False,0.0,1285,1129,0.8800000000001091
46,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,46,False,0.0,1312,1156,0.8800000000001091
47,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,47,False,0.0,1342,1186,0.8800000000001091
48,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,48,False,0.0,1374,1218,0.8800000000001091
49,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,49,False,0.0,1396,1240,0.8800000000001091
50,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,50,False,0.0,1417,1261,0.8800000000001091
51,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,51,False,0.0,1441,1285,0.8800000000001091
52,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,52,False,0.0,1459,1303,0.8800000000001091
53,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,53,False,0.0,1494,1338,0.8800000000001091
54,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,54,False,0.0,1519,1363,0.8800000000001091
55,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,55,True,,1557,1401,68.30456714270827
56,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,56,False,0.0,1582,1426,0.8800000000001091
57,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,57,False,0.0,1604,1448,0.8800000000001091
58,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,58,False,0.0,1631,1475,0.8800000000001091
59,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,59,False,0.0,1645,1489,0.8800000000001091
60,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,60,False,0.0,1678,1522,0.8800000000001091
61,e7a9aedc-c38d-4bdc-8bd1-b3c42efde8d1,6,61,False,0.0,1697,1541,0.8800000000001091
